iteration,train_loss,eval_loss
1,0.12865158915519714,inf
2,0.12891457974910736,inf
3,0.12434989213943481,inf
4,0.1213277205824852,inf
5,0.12097939103841782,0.5890739560127258
6,0.1338474303483963,inf
7,0.11810792982578278,inf
8,0.11875021457672119,inf
9,0.12600767612457275,inf
10,0.1183519959449768,0.5982917547225952
11,0.12058322876691818,inf
12,0.12065881490707397,inf
13,0.12175536155700684,inf
14,0.12008477747440338,inf
15,0.11628036946058273,0.6125215888023376
16,0.12168170511722565,inf
17,0.11799982190132141,inf
18,0.11705084145069122,inf
19,0.11637809872627258,inf
20,0.11827611923217773,0.5942314267158508
21,0.11916272342205048,inf
22,0.11773505061864853,inf
23,0.11629661172628403,inf
24,0.1183500587940216,inf
25,0.11834204196929932,0.6082541942596436
26,0.11636169254779816,inf
27,0.11669137328863144,inf
28,0.11468327045440674,inf
29,0.11497753858566284,inf
30,0.11563485860824585,0.6264398694038391
31,0.11561447381973267,inf
32,0.11591704934835434,inf
33,0.1205362007021904,inf
34,0.12202049791812897,inf
35,0.11640326678752899,0.5868567824363708
36,0.12100236117839813,inf
37,0.11446128785610199,inf
38,0.11833071708679199,inf
39,0.11992757767438889,inf
40,0.11953161656856537,0.6015864014625549
41,0.11806964129209518,inf
42,0.12087198346853256,inf
43,0.12059330940246582,inf
44,0.1174892783164978,inf
45,0.11617986857891083,0.6086130738258362
46,0.1168891042470932,inf
47,0.11631866544485092,inf
48,0.11749397218227386,inf
49,0.11465972661972046,inf
50,0.11419837176799774,0.589200496673584
51,0.11613120138645172,inf
52,0.11751383543014526,inf
53,0.1130199134349823,inf
54,0.11470039933919907,inf
55,0.11518477648496628,0.6018534898757935
56,0.11568111181259155,inf
57,0.11693960428237915,inf
58,0.11515756696462631,inf
59,0.11653472483158112,inf
60,0.11747056245803833,0.6013073921203613
61,0.11475294828414917,inf
62,0.11613341420888901,inf
63,0.11441569030284882,inf
64,0.11312063783407211,inf
65,0.11314189434051514,0.6132764220237732
66,0.11458521336317062,inf
67,0.11456319689750671,inf
68,0.1163100004196167,inf
69,0.11831104010343552,inf
70,0.1135610044002533,0.5958677530288696
71,0.11644093692302704,inf
72,0.11605402827262878,inf
73,0.11300360411405563,inf
74,0.11343906819820404,inf
75,0.11629315465688705,0.5945522785186768
76,0.11467547714710236,inf
77,0.11574514210224152,inf
78,0.11527737230062485,inf
79,0.1159454882144928,inf
80,0.11909087747335434,0.5950521230697632
81,0.11409461498260498,inf
82,0.12055946886539459,inf
83,0.11725159734487534,inf
84,0.11386825889348984,inf
85,0.12281450629234314,0.6029661893844604
86,0.11446639895439148,inf
87,0.11551179736852646,inf
88,0.11445995420217514,inf
89,0.11370434612035751,inf
90,0.1141558289527893,0.5971843004226685
91,0.1162671148777008,inf
92,0.11652415990829468,inf
93,0.11643050611019135,inf
94,0.11556386947631836,inf
95,0.1141434758901596,0.5916621088981628
96,0.11341448873281479,inf
97,0.11606576293706894,inf
98,0.11116721481084824,inf
99,0.11580314487218857,inf
100,0.11321371048688889,0.6010864973068237
