iteration,train_loss,eval_loss
1,0.27055874466896057,inf
2,0.267590194940567,inf
3,0.2649400234222412,inf
4,0.26116058230400085,inf
5,0.2542661130428314,0.20735278725624084
6,0.23769617080688477,inf
7,0.23153312504291534,inf
8,0.2176515907049179,inf
9,0.19934263825416565,inf
10,0.2671697735786438,0.16885943710803986
11,0.1949528306722641,inf
12,0.19934724271297455,inf
13,0.1906818002462387,inf
14,0.17930389940738678,inf
15,0.1845463365316391,0.14072740077972412
16,0.17483580112457275,inf
17,0.1655462086200714,inf
18,0.1596853882074356,inf
19,0.1537192463874817,inf
20,0.1521195024251938,0.1222689226269722
21,0.14955638349056244,inf
22,0.14304865896701813,inf
23,0.1415543109178543,inf
24,0.14162231981754303,inf
25,0.14317597448825836,0.11080125719308853
26,0.1442863643169403,inf
27,0.13988949358463287,inf
28,0.13488666713237762,inf
29,0.13789425790309906,inf
30,0.1340489387512207,0.1054096519947052
31,0.13545985519886017,inf
32,0.13461780548095703,inf
33,0.13135872781276703,inf
34,0.1321610063314438,inf
35,0.1294184774160385,0.10352706909179688
36,0.13197080790996552,inf
37,0.12832148373126984,inf
38,0.12819454073905945,inf
39,0.12862788140773773,inf
40,0.13063538074493408,0.09728074073791504
41,0.12775494158267975,inf
42,0.12585893273353577,inf
43,0.1271362155675888,inf
44,0.12647373974323273,inf
45,0.1252720206975937,0.09376299381256104
46,0.12291818857192993,inf
47,0.1364331692457199,inf
48,0.12452683597803116,inf
49,0.13102930784225464,inf
50,0.1313261240720749,0.09553975611925125
51,0.1256392002105713,inf
52,0.12680523097515106,inf
53,0.12454849481582642,inf
54,0.12512199580669403,inf
55,0.12248022854328156,0.09130679816007614
56,0.12183643877506256,inf
57,0.12210098654031754,inf
58,0.1219407245516777,inf
59,0.1194247156381607,inf
60,0.12033764272928238,0.09016299247741699
61,0.1177557036280632,inf
62,0.11794574558734894,inf
63,0.11988669633865356,inf
64,0.11718738079071045,inf
65,0.11764761060476303,0.09118333458900452
66,0.11853297054767609,inf
67,0.11810039728879929,inf
68,0.11803819239139557,inf
69,0.1189516931772232,inf
70,0.1201770082116127,0.08949317038059235
71,0.12306590378284454,inf
72,0.12005426734685898,inf
73,0.11625122278928757,inf
74,0.11850867420434952,inf
75,0.11957836151123047,0.0894375890493393
76,0.11744606494903564,inf
77,0.11608275026082993,inf
78,0.11980283260345459,inf
79,0.11639375984668732,inf
80,0.12069692462682724,0.08952634781599045
81,0.1191946417093277,inf
82,0.11776261776685715,inf
83,0.11616849899291992,inf
84,0.1176149845123291,inf
85,0.11834464222192764,0.08875732123851776
86,0.11821361631155014,inf
87,0.1183999553322792,inf
88,0.1159437820315361,inf
89,0.11551075428724289,inf
90,0.11616730690002441,0.08940882235765457
91,0.11637578159570694,inf
92,0.11518438160419464,inf
93,0.11639614403247833,inf
94,0.11516567319631577,inf
95,0.11579801142215729,0.0868358165025711
96,0.11402767151594162,inf
97,0.11329489201307297,inf
98,0.11544065922498703,inf
99,0.11506786197423935,inf
100,0.11384879797697067,0.08622559905052185
